Code NL/EN,Translate EN, Code Group (Theme/Subtheme) C,Comment (NL)
Learning outcomes,Learning outcomes,,
Learning preferences,Learning preferences,,
Learning process,Learning process,,
Learning Strategies,Learning Strategies,,
Learning techniques,Learning techniques,,
Learning tools,Learning tools,,
Leefbaarheid,Viability,,
Leefkwaliteit,Life,,
Leefomgeving,Environment,,
Leefstijl,Lifestyle,,
Leeftijd,Age,,
Leeftijdsgroepen,Age,,
Leeftijdsimpact,Age impact,,
Leeftijdsverschil,Age difference,,
Leeftijdsverschillen,Age differences,,
Leer- en ontwikkelingsstoornissen,Learning and developmental disabilities,,
Leermethoden,Learning methods,,
Leermogelijkheden,Learning opportunities,,
Leerproces,Learning process,,
Leervervaring,Learning experience,,
Legacy,Legacy,,
Legal Frameworks,Legal Frameworks,,
Legal/Political issues,Legal/Political issues,,
Legislation,Legislation,,
Leiderschap,Leadership,,
Leidinggevenden,Executives,,
Leren,Learn,,
Leren door te doen,Learning by doing,,
Leren van elkaar,Learning from each other,,
Leren van ervaringen,Learning from experiences,,
Leren van fouten,Learning from mistakes,,
Lerend karakter,Learning character,,
Lerend vermogen,Learning capacity,,
Lerende benadering,Learning approach,,
Levenslang leren,Lifelong learning,,
Levensveranderingen,Life changes,,
Leverancierrelaties,Supplier relationships,,
Lezen,Read,,
Lichamelijk ongemak,Physical discomfort,,
Lichamelijk welzijn,Physical well-being,,
Lichamelijke belasting,Physical strain,,
Lichamelijke gevolgen,Physical consequences,,
Lichamelijke gewaarwording en embodiment,Body sensation and embodiment,,
Lichamelijke gezondheid,Physical health,,
Lichamelijke reactie,Physical reaction,,
Lichamelijke symptomen,Physical symptoms,,
Liefdezoektocht,Love search,,
Lifelong learning,Lifelong learning,,
Lijden,Suffer,,
Limitations,Limitations,,
Limitations and challenges,Limitations and challenges,,
Limitations in research,Limitations in research,,
Literature review,Literature review,,
Literatuuronderzoek,Literature review,,
Livelihood enhancement,Livelihood enhancement,,
Livelihood impacts,Livelihood impacts,,
Livestock farming,Livestock farming,,
Living conditions,Living conditions,,
Lobbyactiviteiten,Lobbying activities,,
Lobbygroepen,Lobby groups,,
Locatie van zorg,Location of care,,
Locatie-specifieke factoren,Location-specific factors,,
Locatiebeoordeling,Location assessment,,
Locatieonderzoek,Location research,,
Logische inconsistentie,Logical inconsistency,,
Logistics,Logistics,,
Logistics challenges,Logistics challenges,,
Logistiek,Logistics,,
Lokaal bewustzijn,Local awareness,,
Lokale aanpassing,Local customization,,
Lokale betrokkenheid,Local involvement,,
Lokale context,Local context,,
Lokale gemeenschap,Local community,,
Lokale participatie,Local participation,,
Loneliness,Loneliness,,
Long-term commitment,Long-term commitment,,
Long-term impact,Long-term impact,,
Loopbaanbegeleiding,Career guidance,,
Loopbaanbehoud,Career Retention,,
Loopbaanontwikkeling,Career development,,
Love and relationships,Love and relationships,,
Loyaliteit,Loyalty,,
Luchtkwaliteit,Air quality,,
Luchtruimindeling,Airspace layout,,
Luchtvaart,Aviation,,
Luchtvaartbeleid,Aviation policy,,
Luchtvaartindustrie,Aviation industry,,
Luchtvaarttechnologie,Aeronautical technology,,
Luchtverkeer,Air traffic,,
Luchtvervuiling,Air pollution,,
Luiheid,Laziness,,
Luisteren,Listen,,
Maatregelen,Measures,,
Maatregelen bij stress,Measures in case of stress,,
Maatregelen bij verzuim,Measures in the event of absenteeism,,
Maatregelen ter ondersteuning,Support measures,,
Maatschappelijk debat,Social debate,,
Maatschappelijk draagvlak,Social support,,
Maatschappelijk gesprek,Social conversation,,
Maatschappelijk verantwoord gedrag,Socially responsible behaviour,,
Maatschappelijke acceptatie,Social acceptance,,
Maatschappelijke betekenis,Social significance,,
Maatschappelijke betrokkenheid,Social involvement,,
Maatschappelijke bijdrage,Social contribution,,
Maatschappelijke druk,Social pressure,,
Maatschappelijke impact,Social impact,,
Maatschappelijke infrastructuur,Social infrastructure,,
Maatschappelijke invloed,Social influence,,
Maatschappelijke issues,Social issues,,
Maatschappelijke kwestie,Social issue,,
Maatschappelijke ondersteuning,Social support,,
Maatschappelijke ongelijkheid,Social inequality,,
Maatschappelijke ongeregeldheden,Social disturbances,,
Maatschappelijke onrust,Social unrest,,
Maatschappelijke organisaties,Civil society organisations,,
Maatschappelijke problematiek,Social problems,,
Maatschappelijke reflectie,Social reflection,,
Maatschappelijke relevantie,Social relevance,,
Maatschappelijke rol,Social role,,
Maatschappelijke steun,Social support,,
Maatschappelijke trends,Social trends,,
Maatschappelijke uitdagingen,Societal challenges,,
Maatschappelijke urgentie,Social urgency,,
Maatschappelijke verandering,Social change,,
Maatschappelijke veranderingen,Social changes,,
Maatschappelijke verantwoordelijkheid,Social responsibility,,
Maatschappelijke vragen,Social questions,,
Maatschappelijke waarde,Social value,,
Maatschappelijke zorg,Social care,,
Maatschappelijke zorgen,Social concerns,,
Maatwerk,Custom,,
Maatwerkoplossingen,Tailor-made solutions,,
Machine learning,Machine learning,,
Machine Learning Applications,Machine Learning Applications,,
Machine learning challenges,Machine learning challenges,,
Machine learning defense,Machine learning defense,,
Machtsstructuren,Power structures,,
Management ondersteuning,Management support,,
Mannencultuur,Men's culture,,
Mantelzorg,Informal care,,
Mantelzorgers,Caregivers,,
Marginalization,Marginalization,,
Maritiem transport,Maritime transport,,
Maritime transport,Maritime transport,,
Marktanalyse,Market Analysis,,
Marktdynamiek,Market dynamics,,
Marktdynamiek en strategische positionering,Market dynamics and strategic positioning,,
Marktkansen,Market opportunities,,
Marktonderzoek,Market research,,
Marktontwikkeling,Market trends,,
Marktpartijen,Market participants,,
Marktpositie,Position,,
Marktpositionering,Market positioning,,
Marktstrategieën,Market strategies,,
Marktverkenning,Market exploration,,
Marktwerking in de zorg,Market forces in healthcare,,
Matchmaking event,Matchmaking event,,
Materiaalbeheer,Material management,,
Materiaalgebruik,Materials,,
Materiaaltekort,Material shortage,,
Materiaalverlies,Material loss,,
Material science,Material science,,
Meaningful connections,Meaningful connections,,
Meaningfulness,Meaningfulness,,
Measurement,Measurement,,
Measurement challenges,Measurement challenges,,
Measurement Invariance,Measurement Invariance,,
Measurement techniques,Measurement techniques,,
Mechanisme,Mechanism,,
Mechanismen,Mechanisms,,
Mechanismen en effecten,Mechanisms and effects,,
Mechanismen in de GGZ,Mechanisms in mental health care,,
Medewerker meten & monitoren,Employee measurement & monitoring,,
Medewerkersbetrokkenheid,Employee engagement,,
Medewerkerscontrole,Employee control,,
Medewerkerstevredenheid,Employee satisfaction,,
Medewerkerswelzijn,Employee well-being,,
Media,Media,,
Media analysis,Media analysis,,
Media gebruik,Media Usage,,
Media Representation,Media Representation,,
Media responsibility,Media responsibility,,
Media-aandacht,Media attention,,
Media-consumptie,Media consumption,,
Media-invloed,Media influence,,
Mediation analysis,Mediation analysis,,
Mediation effect,Mediation effect,,
Mediation effects,Mediation effects,,
Medical Technology,Medical Technology,,
Medicalisering,Medicalization,,
Medisch model,Medical model,,
Medische informatie,Medical information,,
Medische innovatie,Medical innovation,,
Medische technologie,Medical technology,,
Medische vooruitgang,Medical advances,,
Meervoudige oorzaken,Multiple causes,,
Meervoudige problematiek,Multiple problems,,
Meetbaarheid van impact,Measurability of impact,,
Meetinstrument,Measuring instrument,,
Meldingsplicht,Reporting obligation,,
Meldpunt,Hotline,,
Memorialization,Memorialization,,
Meningen,Views,,
Meningen over energiebronnen,Opinions on energy sources,,
Meningen over skincare,Opinions on skincare,,
Meningen over weer,Opinions about weather,,
Mens-voertuiginteractie,Human-vehicle interaction,,
Menselijk gedrag,Human behavior,,
Menselijk lijden,Human suffering,,
Menselijke beperkingen,Human limitations,,
Menselijke factor,Human factor,,
Menselijke gevolgen,Human consequences,,
Menselijke impact,Human impact,,
Menselijke interactie,Human interaction,,
Menselijke invloed,Human influence,,
Mensen betrekken,Involving people,,
Mensgerichte AI,Human-centric AI,,
Mensgerichte mentaliteit,People-oriented mentality,,
Mensgerichtheid,People-oriented,,
Mentaal welzijn,Mental well-being,,
Mental health,Mental health,,
Mental health resources,Mental health resources,,
Mentale belasting,Mental load,,
Mentale druk,Mental pressure,,
Mentale gezondheid,Mental health,,
Mentale gezondheid en welzijn,Mental health and wellbeing,,
Mentale processen,Mental processes,,
Mentorschap,Mentorship,,
Metaphor,Metaphor,,
Metaphor and allusion,Metaphor and allusion,,
Metaphor usage,Metaphor usage,,
Methodologie,Methodology,,
Methodologische beperkingen,Methodological limitations,,
Methodologische zorgen,Methodological concerns,,
Microplastics,Microplastics,,
Middelengebruik,Substance use,,
Middelenmisbruik,Substance abuse,,
Migratie en integratie,Migration and integration,,
Migratieachtergrond,Migration background,,
Migration,Migration,,
Migration and displacement,Migration and displacement,,
Migration and human security,Migration and human security,,
Migration decision-making,Migration decision-making,,
Migration dynamics,Migration dynamics,,
Migration influences,Migration influences,,
Migration patterns,Migration patterns,,
Migration policy,Migration policy,,
Migration trends,Migration trends,,
Milieu,Environment,,
Milieu bewustzijn,Environmental awareness,,
Milieu discussie,Environmental discussion,,
Milieu en duurzaamheid,Environment and sustainability,,
Milieu en klimaat,Environment and climate,,
Milieu en natuur,Environment and nature,,
Milieu- en duurzaamheidsbewustzijn,Environmental and sustainability awareness,,
Milieu- en klimaatbewustzijn,Environmental and climate awareness,,
Milieu- en natuurbewustzijn,Environmental and nature awareness,,
Milieu-activisme,Environmental activism,,
Milieu-analyse,Environmental analysis,,
Milieu-bewustzijn,Environmental awareness,,
Milieu-effecten,Environmental effects,,
Milieu-ervaring,Environmental experience,,
Milieu-impact,Environmental impact,,
Milieu-informatie,Environmental information,,
Milieu-ingrepen,Environmental interventions,,
Milieu-initiatieven,Environmental initiatives,,
Milieu-invloeden,Environmental influences,,
Milieu-issues,Environmental issues,,
Milieu-kwesties,Environmental issues,,
Milieu-uitdagingen,Environmental challenges,,
Milieuactivisme,Environmental activism,,
Milieuangst,Environmental anxiety,,
Milieuaspecten,Environmental aspects,,
Milieubewustzijn,Environmental awareness,,
Milieuimpact,Environmental impact,,
Milieuonderzoek,Environmental research,,
Milieuoverlast,Environmental nuisance,,
Milieuoverwegingen,Environmental considerations,,
Milieuverandering,Environmental change,,
Milieuverantwoordelijkheid,Environmental responsibility,,
Milieuvervuiling,Environmental pollution,,
Militaire oefeningen,Military exercises,,
Militaire organisatie,Military organization,,
Militaire training,Military Training,,
Militancy,Militancy,,
Mind-body connection,Mind-body connection,,
Minder medicalisering,Less medicalization,,
Minder verwijzingen,Fewer referrals,,
Minderwaardigheid,Inferiority,,
Mindfulness,Mindfulness,,
Mindsetverandering,Mindset change,,
Ministeriële verantwoordelijkheden,Ministerial responsibilities,,
Minority representation,Minority representation,,
Misconcepties over psychische gezondheid,Misconceptions about mental health,,
Misdaadbestrijding,Crime,,
Misdaden,Crimes,,
Misinformatie,Misinformation,,
Misinterpretatie van gegevens,Misinterpretation of data,,
Misleading information,Misleading information,,
Mislukken als leermoment,Failure as a learning opportunity,,
Mismanagement,Mismanagement,,
Mismatch,Mismatch,,
Missie,Mission,,
Missie en visie,Mission and vision,,
Mission analysis,Mission analysis,,
Misvattingen,Misconceptions,,
MKB,SMBs,,
MKB uitdagingen,SME challenges,,
MKB vs. grote bedrijven,SMEs vs. large companies,,
MKB-bedrijven,Small and Midsize Businesses,,
Mobiliteit,Mobility,,
Mobility,Mobility,,
Mobility issues,Mobility issues,,
Mode,Fashion,,
Model accuracy,Model accuracy,,
Model comparison,Model comparison,,
Model evaluation,Model evaluation,,
Model fit,Model fit,,
Model fit indices,Model fit indices,,
Model implementation,Model implementation,,
Model integrity,Model integrity,,
Model interpretation,Model interpretation,,
Model robustness,Robustness model,,
Model validation,Model validation,,
Model vulnerability,Model vulnerability,,
Modelbegrip,Model concept,,
Modelbeperkingen,Model limitations,,
Modelgebruik,Model use,,
Modeling challenges,Modeling challenges,,
Modeling methods,Modeling methods,,
Modelkalibratie,Model calibration,,
Modellering,Modeling,,
Modelontwikkeling,Model development,,
Modelvorming,Modeling,,
Moderatie,Moderation,,
Modernisering,Modernization,,
Modulaire therapie,Modular therapy,,
Moederlijke zorgen,Maternal concerns,,
Moeilijkheden,Difficulties,,
Moeilijkheden bij implementatie,Difficulties in implementation,,
Momentopname,Snapshot,,
Monitoring,Monitoring,,
Monitoring and evaluation,Monitoring and evaluation,,
Monitoring en signalerin,Monitoring and signaling,,
Moral implications,Moral implications,,
Moreel kompas,Moral compass,,
Morele bezorgdheid,Moral concern,,
Motivatie,Motivation,,
Motivatie en betrokkenheid,Motivation and involvement,,
Motivatieproblemen,Motivation problems,,
Motivation,Motivation,,
Motorcycle culture,Motorcycle culture,,
Multidisciplinair,Multidisciplinary,,
Multidisciplinair onderzoek,Multidisciplinary research,,
Multidisciplinair samenwerken,Multidisciplinary collaboration,,
Multidisciplinaire benadering,Multidisciplinary approach,,
Multidisciplinaire samenwerking,Multidisciplinary collaboration,,
Multidisciplinariteit,Multidisciplinarity,,
Multifunctioneel gebruik,Multifunctional use,,
Multilevel analysis,Multilevel analysis,,
Nadelen,Disadvantages,,
Nanoscale engineering,Nanoscale engineering,,
Narratieven en maatschappelijke verbeelding,Narratives and social imagination,,
Nation-state formation,Nation-state formation,,
National Context,National Context,,
National development,National development,,
National identity,National identity,,
Nationale identiteit,National identity,,
Nationalism,Nationalism,,
Nativism,Nativism,,
Natuur,Nature,,
Natuur en dierenwelzijn,Nature and animal welfare,,
Natuur en gezondheid,Nature and health,,
Natuur en welzijn,Nature and well-being,,
Natuur- en milieuwetenschappen,Natural and Environmental Sciences,,
Natuurbeheer,Nature conservation,,
Natuurbehoud,Nature conservation,,
Natuurbeleid,Nature policy,,
Natuurbeleving,Nature experience,,
Natuurbranden,Wildfires,,
Natuureducatie,Nature education,,
Natuurgeweld,Natural disaster,,
Natuurhistorisch museum,Natural History Museum,,
Natuurlijke fenomenen,Natural phenomena,,
Natuurlijke gebeurtenissen,Natural events,,
Natuurlijke gedrag,Natural behavior,,
Natuurlijke ontwikkeling,Natural development,,
Natuurlijke oplossingen,Natural solutions,,
Natuurlijke selectie,Natural selection,,
Natuurlijke veerkracht,Natural resilience,,
Natuurobservatie,Nature observation,,
Natuuronderzoek,Nature research,,
Natuurontwikkeling,Nature development,,
Natuurproblemen,Nature problems,,
Natuurrampen,Natural disasters,,
Natuurverbondenheid,Connection to nature,,
Natuurverschijnselen,Natural phenomena,,
Natuurwaardering,Appreciation of nature,,
Natuurwetenschappelijk onderzoek,Scientific research,,
Natuurwetenschappen,Natural sciences,,
Nederlands identiteit,Dutch identity,,
Need for clarity,Need for clarity,,
Need for dialogue,Need for dialogue,,
Need for further research,Need for further research,,
Neerslag,Precipitation,,
Negatieve emoties,Negative emotions,,
Negatieve ervaring,Negative experience,,
Negatieve ervaringen,Negative experiences,,
Negatieve feedback,Negative feedback,,
Negatieve gevolgen,Negative consequences,,
Negatieve impact,Negative impact,,
Negatieve indrukken,Negative impressions,,
Negative attitudes,Negative attitudes,,
Negative emotions,Negative emotions,,
Negativiteit,Negativity,,
Neoliberal subject formation,Neoliberal subject formation,,
Neoliberalism,Neoliberalism,,
Nepnieuws,Fake news,,
Netcongestie,Grid congestion,,
Netwerk,Network,,
Netwerk en samenwerking,Network and collaboration,,
Netwerken,Networks,,
Netwerkmogelijkheden,Networking,,
Netwerkopbouw,Network building,,
Networking,Networking,,
Neural networks,Neural networks,,
Neurobiologie,Neurobiology,,
Neurodiversiteit,Neurodiversity,,
Neurodiversity,Neurodiversity,,
Neuronal maturation,Neuronal maturation,,
Neurowetenschap,Neuroscience,,
Neutraal gevoel,Neutral feeling,,
Neutraal standpunt,Neutral point of view,,
Neutrale insteek,Neutral approach,,
Niet-hiërarchische structuren,Non-hierarchical structures,,
Nieuw kader ontwikkeld,New framework developed,,
Nieuwe benaderingen,New approaches,,
Nieuwe inzichten,New insights,,
Nieuwe technologieën,New technologies,,
Nieuwe vragen,New questions,,
Nieuwerwetse technologie,Newfangled technology,,
Nieuwsgierigheid,Curiosity,,
NIMBY,NIMBY,,
NIMBY/NIABY,NIMBY/NIABY,,
Non-representational theory,Non-representational theory,,
Non-traditional learning environments,Non-traditional learning environments,,
Non-verbal communication,Non-verbal communication,,
Noodgevallen,Emergency,,
Noodhulp,Emergency aid,,
Noodlot,Destiny,,
Noodsituatie,Emergency,,
Noodsituaties,Emergencies,,
Noodtoestand,State of emergency,,
Noodzaak tot actie,Need for action,,
Noodzaak tot rapportage,Need for reporting,,
Noodzaak tot verandering,Need for change,,
Noodzaak van bewustwording,Need for awareness,,
Noodzaak van evaluatie,Need for evaluation,,
Noodzaak van kennis,Need for knowledge,,
Noodzaak van observatie,Need for observation,,
Noodzaak voor betere communicatie,Need for better communication,,
Noodzakelijkheid,Necessity,,
Norm violation,Norm violation,,
Normaliserend,Normalizing,,
Normalisering,Normalisation,,
Normen en standaarden,Norms and standards,,
Nostalgie,Nostalgia,,
Nuancering,Nuance,,
Nucleaire energie,Nuclear energy,,
Nuttigheid,Utility,,
Observaties,Observations,,
Occupational patterns,Occupational patterns,,
Omarmen van onzekerheid,Embracing uncertainty,,
Omdenken,Rethinking,,
Omgaan met stress,Dealing with stress,,
Omgangsstrategieën,Interaction strategies,,
Omgangsvormen,Manners,,
Omgevingsanalyse,Environmental analysis,,
Omgevingsfactoren,Environmental factors,,
Omgevingsinvloeden,Environmental influences,,
Omgevingskwesties,Environmental issues,,
Omgevingsvergunning,Environmental permit,,
Onafhankelijke beoordeling,Independent assessment,,
Onafhankelijke observatie,Independent observation,,
Onafhankelijkheid,Independence,,
Onbedoelde gevolgen,Unintended consequences,,
Onbegrip,Incomprehension,,
Onbehagen,Unease,,
Onbekende oorzaken,Unknown causes,,
Onbekendheid,Unfamiliarity,,
Onbetrouwbaarheid,Unreliability,,
Onbewuste beïnvloeding,Unconscious influence,,
Onbewuste vooroordelen,Unconscious bias,,
Onbewustheid,Unconsciousness,,
Onbewustzijn,Unconsciousness,,
Oncomfortabel gevoel,Uncomfortable feeling,,
Onconventioneel denken,Unconventional thinking,,
Onderhoud,Maintenance,,
Ondernemerschap,Entrepreneurship,,
Onderregistratie,Underregistration,,
Onderscheidend vermogen,Distinctiveness,,
Onderscheidingen,Awards,,
Ondersteuning,Support,,
Ondersteuning bieden,Provide support,,
Ondersteuning bij ongewenst gedrag,Support for undesirable behaviour,,
Ondersteuning bij persoonlijke problemen,Support for personal problems,,
Ondersteuning bij terugkeer naar werk,Support for returning to work,,
Ondersteuning door beleid,Support by policy,,
Ondersteuning door technologie,Support by technology,,
Ondersteuning en relatiebehoefte,Support and relationship needs,,
Ondersteuning medewerkers,Support staff,,
Ondersteuning studenten,Student support,,
Ondersteuning van minderheidsgroepen,Support for minority groups,,
Ondersteuning voor atleten,Support for athletes,,
Ondersteuning voor mantelzorgers,Support for caregivers,,
Ondersteuning voor onderzoek,Research support,,
Ondersteuning voor startups,Support for startups,,
Ondersteuningsbehoefte,Support needs,,
Ondersteuningsbehoeften,Support needs,,
Ondervindingen van mantelzorgers,Experiences of informal caregivers,,
Onderwaardering van expertise,Undervaluation of expertise,,
Onderwerp op de agenda,Item on the agenda,,
Onderwijs,Education,,
Onderwijs en bewustwording,Education and awareness,,
Onderwijs en kennisdeling,Education and knowledge sharing,,
Onderwijs en leren,Teaching and learning,,
Onderwijs en ontwikkeling,Education and development,,
Onderwijs en training,Education and training,,
Onderwijs en werk,Education and work,,
Onderwijsachterstand,Educational disadvantage,,
Onderwijsbehoefte,Educational need,,
Onderwijsbeleid,Education policy,,
Onderwijsbezuinigingen,Education cuts,,
Onderwijsbudget,Education budget,,
Onderwijservaring,Teaching experience,,
Onderwijsinnovatie,Educational innovation,,
Onderwijsinstelling,Educational institution,,
Onderwijsinterventies,Educational interventions,,
Onderwijsniveau,Education,,
Onderwijsontwikkeling,Educational development,,
Onderwijsproblemen,Educational problems,,
Onderwijsstructuur,Educational structure,,
Onderwijsverbetering,Educational improvement,,
Onderwijsvernieuwing,Educational innovation,,
Onderzoek,Research,,
Onderzoek binnen Horizon Europe,Research within Horizon Europe,,
Onderzoek doen,Doing research,,
Onderzoek en ontwikkeling,Research and development,,
Onderzoek en praktijk,Research and practice,,
Onderzoek naar gezondheidssystemen,Health Systems Research,,
Onderzoek naar stereotypen,Research into stereotypes,,
Onderzoek resultaten,Research results,,
Onderzoekcontext,Research context,,
Onderzoekende houding,Inquisitive attitude,,
Onderzoekontwikkeling,Research development,,
Onderzoeksaanbevelingen,Research recommendations,,
Onderzoeksbehoefte,Research need,,
Onderzoeksbeleid,Research policy,,
Onderzoeksbeperkingen,Research limitations,,
Onderzoeksdoel,Research objective,,
Onderzoeksdoelen,Research objectives,,
Onderzoekservaringen,Research experiences,,
Onderzoeksgegevens,Research data,,
Onderzoeksinnovatie,Research innovation,,
Onderzoekskenmerken,Research characteristics,,
Onderzoeksmethoden,Research methods,,
Onderzoeksmethodologie,Research methodology,,
Onderzoeksmogelijkheden,Research opportunities,,
Onderzoeksopzet,Study design,,
Onderzoeksparameters,Research parameters,,
Onderzoeksplanning,Research planning,,
Onderzoeksprocessen,Research processes,,
Onderzoeksprojecten,Research projects,,
Onderzoeksresultaten,Search results,,
Onderzoeksthema's,Research themes,,
Onderzoekstrends,Research trends,,
Onderzoeksvoorstel,Research proposal,,
Onderzoeksvraag,Research question,,
Onderzoeksvragen,Research questions,,
Onduidelijkheid,Uncertainty,,
Oneerlijkheid,Dishonesty,,
Ongelijkheid,Inequality,,
Ongelijkheid in zorg,Inequality in care,,
Ongelukkige situatie,Unfortunate situation,,
Ongemak,Discomfort,,
Ongemak in werkomgeving,Discomfort in work environment,,
Ongeneeslijke aandoeningen,Incurable conditions,,
Ongevoeligheid voor milieu,Insensitivity to the environment,,
Ongewenst gedrag,Undesirable behaviour,,
Ongunstige werkomstandigheden,Unfavorable working conditions,,
Onhandigheid,Clumsiness,,
Onomkeerbaarheid,Irreversibility,,
Onpartijdigheid,Impartiality,,
Onrealistische verwachtingen,Unrealistic expectations,,
Ontdekking,Discovery,,
Ontevredenheid,Dissatisfaction,,
Ontkenning,Denial,,
Ontsnapping,Escape,,
Ontspanning,Recreation,,
Ontwerp,Design,,
Ontwerpdenken en technologische innovatie,Design thinking and technological innovation,,
Ontwerpend onderzoek,Research by design,,
Ontwerpkeuzes,Design choices,,
Ontwerpmethoden,Design methods,,
Ontwerpvrijheid,Design freedom,,
Ontwikkeling,Development,,
Ontwikkeling en implementatie,Development and implementation,,
Ontwikkeling van kinderen,Child development,,
Ontwikkeling van technologie,Development of technology,,
Ontwikkelings- en leerbehoefte,Development and learning needs,,
Ontwikkelingsdoelen,Development goals,,
Ontwikkelingshulp,Development aid,,
Ontwikkelingsprojecten en -processen,Development projects and processes,,
Onverschilligheid,Indifference,,
Onverwachte bevindingen,Unexpected findings,,
Onverwachte gevolgen,Unexpected consequences,,
Onverwachte situatie,Unexpected situation,,
Onvoldoende activiteiten,Insufficient activities,,
Onvoldoende informatie,Insufficient information,,
Onvoldoende kennis,Insufficient knowledge,,
Onvolledig begrip,Incomplete understanding,,
Onvoorspelbaarheid,Unpredictability,,
Onvrede,Displeasure,,
Onvrede over financiële situatie,Dissatisfaction with financial situation,,
Onwetendheid,Ignorance,,
Onzekerheid,Doubt,,
Onzekerheid omarmen,Embracing uncertainty,,
Onzekerheid over effectiviteit,Uncertainty about effectiveness,,
Onzekerheid over informatie,Uncertainty about information,,
Onzekerheid over informatie betrouwbaarheid,Uncertainty about information reliability,,
Ook wetgeving,Legislation too,,
Oordelen,Judge,,
Oorlog,War,,
Oorzaak en gevolg,Cause and effect,,
Oorzaken van stress,Causes of stress,,
Opdracht,Commission,,
Open communicatie,Open communication,,
Open cultuur,Open culture,,
Open dag,Open day,,
Open data,Open data,,
Open geest,Open mind,,
Open Science,Open Science,,
Open toegang,Open access,,
Open wetenschap,Open science,,
Open-mindedness,Open-mindedness,,
Open-source,Open-source,,
Openbaar onderzoek,Public consultation,,
Openbaar vervoer,Public transport,,
Openbaarheid van data,Public access to data,,
Openheid,Openness,,
Operational excellence,Operational excellence,,
Operationele capaciteiten,Operational capabilities,,
Operationele druk,Operational pressure,,
Operationele relevantie,Operational relevance,,
Operationele vraagstukken,Operational issues,,
Opinieonderzoek,Opinion poll,,
Opleiding en expertise van zorgverleners,Healthcare Provider Education and Expertise,,
Opleiding en kennis,Education and knowledge,,
Opleiding en ontwikkeling,Training and development,,
Opleiding en training,Education and training,,
Opleiding en vakmanschap,Training and craftsmanship,,
Opleidingsband,Training band,,
Opleidingservaring,Training experience,,
Opleidingskeuzes,Education choices,,
Opleidingskloof,Education gap,,
Oplossingen,Solutions,,
Oplossingen voor mondiale problemen,Solutions to global problems,,
Oplossingen zoeken,Find solutions,,
Oplossingsgericht,Solution-oriented,,
Oplossingsgericht denken,Solution-oriented thinking,,
Oplossingsgerichtheid,Solution-oriented,,
Oppression,Oppression,,
Oprechte interesse,Genuine interest,,
Oproep tot actie,Call to action,,
Optimalisatie,Optimization,,
Optimisme,Optimism,,
Opvallend,Striking,,
Organisatie,Organization,,
Organisatie en bedrijfsvoering,Organization and business operations,,
Organisatie en samenwerking,Organization and collaboration,,
Organisatie van werk,Organization of work,,
Organisatie welzijn,Organizational well-being,,
Organisatie-uitdagingen,Organizational challenges,,
Organisatieadvies,Organizational advice,,
Organisatiebeleid,Organizational policy,,
Organisatiecontext,Organizational context,,
Organisatiecultuur,Organizational culture,,
Organisatiegedrag,Organizational behavior,,
Organisatieontwikkeling,Organizational development,,
Organisatieproblemen,Organizational problems,,
Organisaties,Organizations,,
Organisatiestructuur,Organisational structure,,
Organisatieveranderingen,Organizational changes,,
Organisatieverbetering,Organizational improvement,,
Organisatiewijzigingen,Organizational changes,,
Organisatorische barrières,Organizational barriers,,
Organisatorische factoren,Organizational factors,,
Organisatorische impact,Organizational impact,,
Organisatorische implicaties,Organizational implications,,
Organisatorische knelpunten,Organizational bottlenecks,,
Organisatorische vaardigheden,Organizational skills,,
Organisatorische verandering,Organizational change,,
Other-blame,Other-blame,,
Othering,Othering,,
Oudere werknemers,Older workers,,
Ouderen,Elderly,,
Ouderenzorg,Elderly care,,
Ouderschap,Parenthood,,
Ouderschapsverantwoordelijkheid,Parenting responsibility,,
Out-group derogation,Out-group derogation,,
Out-groups,Out-groups,,
Overbelasting,Overload,,
Overbruggingszorg,Bridging care,,
Overeenkomsten en verschillen,Similarities and differences,,
Overgewicht,Overweight,,
Overheid,Government,,
Overheid en beleid,Government and policy,,
Overheidsbeleid,Government,,
Overheidsbetrokkenheid,Government involvement,,
Overheidscommunicatie,Government communication,,
Overheidsoptreden,Government action,,
Overheidsstructuur,Government structure,,
Overlast,Nuisance,,
Overlevingsstrategieën,Survival strategies,,
Overspanning,Overvoltage,,
Overtuigen,Persuade,,
Overweldigd gevoel,Feeling overwhelmed,,
Overweldiging,Usurpation,,
Overwinnen van obstakels,Overcoming obstacles,,
Overzichtelijkheid,Clarity,,
Panic,Panic,,
Paradox,Paradox,,
Paralympische atleten,Paralympic athletes,,
Parental concerns,Parental concerns,,
Participant allocation,Participant allocation,,
Participant engagement,Participant engagement,,
Participant selection,Participant selection,,
Participatie,Participation,,
Participatie van professionals,Participation of professionals,,
Participatiedynamiek,Participation dynamics,,
Participatief leren,Participatory learning,,
Partnerschap,Partnership,,
Partnerschappen,Partnerships,,
Parttime werk,Part-time work,,
Passie,Passion,,
Passie voor het vak,Passion for the profession,,
Passie voor natuur,Passion for nature,,
Passie voor psychologie,Passion for psychology,,
Passie voor werk,Passion for work,,
Passieve betrokkenheid,Passive engagement,,
Passiviteit,Passivity,,
Paternalisme,Paternalism,,
Patient portrayals,Patient portrayals,,
Patiëntgerichte zorg,Patient-centered care,,
Patiëntresultaten,Patient outcomes,,
Pauzes,Breaks,,
Pedagogical work,Pedagogical work,,
